,Name,Role,Status,Base Price,Final Price,Team
108, Naman Ojha , WK-Batsman, UNSOLD ,50.00 Lakh,,
109, Mushfiqur Rahim , WK-Batsman, UNSOLD ,75.00 Lakh,,
110, Heinrich Klaasen , WK-Batsman, UNSOLD ,50.00 Lakh,,
111, Alex Carey , WK-Batsman, SOLD ,50.00 Lakh,2.40 Crore,DC
112, Stuart Binny , Batting Allrounder, UNSOLD ,50.00 Lakh,,
113, Chris Morris , Bowling Allrounder, SOLD ,1.50 Crore,10.00 Crore,RCB
114, Sam Curran , Bowling Allrounder, SOLD ,1.00 Crore,5.50 Crore,CSK
115, Pat Cummins , Bowler, SOLD ,2.00 Crore,15.50 Crore,KKR
116, Yusuf Pathan , Batting Allrounder, UNSOLD ,1.00 Crore,,
117, Chris Woakes , Bowling Allrounder, SOLD ,1.50 Crore,1.50 Crore,DC
118, Glenn Maxwell , Batting Allrounder, SOLD ,2.00 Crore,10.75 Crore,PBKS
119, Aaron Finch , Batsman, SOLD ,1.00 Crore,4.40 Crore,RCB
120, Jason Roy , Batsman, SOLD ,1.50 Crore,1.50 Crore,DC
121, Cheteshwar Pujara , Batsman, UNSOLD ,50.00 Lakh,,
122, Hanuma Vihari , Batting Allrounder, UNSOLD ,50.00 Lakh,,
123, Robin Uthappa , WK-Batsman, SOLD ,1.50 Crore,3.00 Crore,RR
124, Eoin Morgan , Batsman, SOLD ,1.50 Crore,5.25 Crore,KKR
125, Chris Lynn , Batsman, SOLD ,2.00 Crore,2.00 Crore,MI
